web-scraper-order,web-scraper-start-url,article,article-href,title,subtitle,author,content,date
"1570855369-376","https://www.nytimes.com/section/politics","ImageU.S. Blacklists 28 Chinese Entities Over Abuses in XinjiangThe companies and security bureaus were barred from buying American products because of their roles in human rights violations against Muslim minorities, the Trump administration said.By Ana Swanson and Paul Mozur","https://www.nytimes.com/2019/10/07/us/politics/us-to-blacklist-28-chinese-entities-over-abuses-in-xinjiang.html","U.S. Blacklists 28 Chinese Entities Over Abuses in Xinjiang","null","Ana Swanson","The listed government entities include Xinjiang’s public security bureau and 19 subordinate bureaus and institutes.","Oct. 7, 2019"
"1570855838-2035","https://www.nytimes.com/section/politics","ImageGiuliani’s Ukraine Team: In Search of Influence, Dirt and MoneyThe president’s lawyer was paid by Lev Parnas, who with Igor Fruman worked on behalf of President Trump in Ukraine.By Kenneth P. Vogel","https://www.nytimes.com/2019/10/10/us/politics/rudy-giuliani-ukraine-associates.html","Giuliani’s Ukraine Team: In Search of Influence, Dirt and Money","The president’s lawyer was paid by Lev Parnas, who with Igor Fruman worked on behalf of President Trump in Ukraine.","Kenneth P. Vogel","The congressional committees overseeing the impeachment inquiry have subpoenaed Mr. Giuliani for records related to his efforts in Ukraine, including records related to Mr. Parnas, Mr. Fruman and Semyon Kislin, another Ukrainian-born businessman.","Oct. 10, 2019"
"1570855743-1698","https://www.nytimes.com/section/politics","ImageTrump Confirms 2017 Killing of Feared Bomb Maker for Al QaedaMr. Trump said that Ibrahim al-Asiri, among the world’s most feared terrorist operatives of the past decade, was killed in Yemen, but did not explain why confirming his death took so long.By Michael Crowley","https://www.nytimes.com/2019/10/10/world/middleeast/qaeda-bomber-death-trump.html","Trump Confirms 2017 Killing of Feared Bomb Maker for Al Qaeda","Mr. Trump said that Ibrahim al-Asiri, among the world’s most feared terrorist operatives of the past decade, was killed in Yemen, but did not explain why confirming his death took so long.","Michael Crowley","The announcement also comes as Mr. Trump faces intense criticism from national security experts, many of them Republicans, over his failure to prevent Turkey from invading northeastern Syria to attack Syrian Kurdish fighters. Those Kurdish fighters have been the major ground ally in Syria for the campaign against the Islamic State. Many military and intelligence officials believe the Turkish action could make it easier for the Islamic State, or ISIS, to regenerate as the Kurds turn their attention toward their Turkish enemies.","Oct. 10, 2019"
"1570855524-1003","https://www.nytimes.com/section/politics","ImageBernie Sanders Says He Will Slow His Campaign Pace After Heart AttackThe Vermont senator said he would “change the nature” of his campaign. He also acknowledged that voters would take his health into account when deciding whether to support him.By Sydney Ember and Jonathan Martin","https://www.nytimes.com/2019/10/08/us/politics/bernie-sanders-heart-attack.html","Bernie Sanders Says He Will Slow His Campaign Pace After Heart Attack","The Vermont senator said he would “change the nature” of his campaign. He also acknowledged that voters would take his health into account when deciding whether to support him.","Sydney Ember","“As Bernie said, we are going to have an active campaign,” Faiz Shakir, Mr. Sanders’s campaign manager, said in a statement on Tuesday evening. “Instead of a breakneck series of events that lap the field, we are going to keep a marathoner’s pace that still manages to outrun everyone else.”","Oct. 8, 2019"
"1570855964-2375","https://www.nytimes.com/section/politics","ImageA Spice Company Spent $92,000 on Pro-Impeachment Facebook Ads in a WeekA Wisconsin-based purveyor of pepper, paprika and poppy seeds spent more on impeachment-related Facebook ads than any entity besides President Trump.By Jacey Fortin","https://www.nytimes.com/2019/10/11/business/penzeys-spices-impeach-ads.html","A Spice Company Spent $92,000 on Pro-Impeachment Facebook Ads in a Week","A Wisconsin-based purveyor of pepper, paprika and poppy seeds spent more on impeachment-related Facebook ads than any entity besides President Trump.","Jacey Fortin","Penzeys sells spices online and has dozens of brick-and-mortar stores across the United States. Mr. Penzey declined to share financial information but said the money he spends on Facebook ads is less than what he used to spend on print catalogs, which he stopped sending out about four years ago.","Oct. 11, 2019"
"1570855409-521","https://www.nytimes.com/section/politics","ImageSupreme Court Considers Whether Civil Rights Act Protects L.G.B.T. WorkersThe court seemed divided along predictable lines, with a possible exception: Justice Neil M. Gorsuch, a member of the conservative majority.By Adam Liptak and Jeremy W. Peters","https://www.nytimes.com/2019/10/08/us/politics/supreme-court-gay-transgender.html","Supreme Court Considers Whether Civil Rights Act Protects L.G.B.T. Workers","null","Adam Liptak","Solicitor General Noel J. Francisco, representing the Trump administration, said it was up to Congress and not the courts to change the law.","Oct. 8, 2019"
"1570855546-1068","https://www.nytimes.com/section/politics","ImageOn Climate Change, Biden Has a Record and a Plan. Young Activists Want More.No  presidential candidate has Joseph R. Biden Jr.’s experience in the trenches of the climate wars. For a youth-driven movement, though, he may not be the man of the hour.By Lisa Friedman","https://www.nytimes.com/2019/10/09/climate/climate-change-biden.html","On Climate Change, Biden Has a Record and a Plan. Young Activists Want More.","null","Lisa Friedman","On a personal level, the candidate can’t quite connect with an incensed climate movement personified by Greta Thunberg, a 16-year-old Swedish activist who angrily chastised world leaders gathered at the United Nations last month, saying, “If you choose to fail us, I say we will never forgive you.”","Oct. 9, 2019"
"1570855813-1913","https://www.nytimes.com/section/politics","ImageUkraine Saga’s Growing Cast of CharactersNew details emerged on Thursday after the indictment of two associates of Rudolph W. Giuliani.By Sharon LaFraniere","https://www.nytimes.com/2019/10/10/us/politics/ukraine-cast-of-characters.html","Ukraine Saga’s Growing Cast of Characters","null","Sharon LaFraniere","Thursday’s indictment charges them with camouflaging political donations in order to advance the political interests of Ukrainian government officials as well as their own business interests.","Oct. 10, 2019"
"1570855705-1581","https://www.nytimes.com/section/politics","ImageUkraine’s President: ‘I Wanted to Be World Famous,’ but Not This WayVolodymyr Zelensky came to office vowing to fight corruption and forge peace. Then came the Trump phone call. Today, in a marathon news conference, he tried to start over.By Michael Schwirtz and Andrew E. Kramer","https://www.nytimes.com/2019/10/10/world/europe/ukraine-trump-zelensky-burisma-blackmail.html","Ukraine’s President: ‘I Wanted to Be World Famous,’ but Not This Way","null","Michael Schwirtz","In the past, America’s support as he faced down these challenges and attempted to break Ukraine’s cycle of instability and dysfunction would have been a given. No more.","Published Oct. 10, 2019"
"1570855323-237","https://www.nytimes.com/section/politics","ImageImpeachment Fight May Help a New NAFTA DealAs a delegation of Democrats heads to Mexico, the impeachment battle could be a plus when it comes to ratifying a new North American trade agreement.By Carl Hulse and Emily Cochrane","https://www.nytimes.com/2019/10/07/us/politics/nafta-impeachment-uscma.html","Impeachment Fight May Help a New NAFTA Deal","null","Carl Hulse","Both parties have strong political incentives to approve the trade deal despite deep Democratic skepticism over such pacts after American jobs flowed into Mexico after the ratification of NAFTA in 1993.","Oct. 7, 2019"
