web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content,
"1575050249-65276","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=9","Marine combat aviator Amy McGrath announces Senate campaign against Mitch McConnell","https://www.foxnews.com/politics/marine-combat-aviator-amy-mcgrath-announces-senate-campaign-against-mitch-mcconnell-after-narrow-house-defeat","Marine combat aviator Amy McGrath announces Senate campaign against Mitch McConnell","Marine combat aviator Amy McGrath announces Senate campaign against Mitch McConnell","","July 9","McGrath believes that people in her state voted for Trump due to promises to “drain the swamp” and lower prices of prescription drugs; promises she does not believe the president has fulfilled.","null"
"1575050051-64898","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=33","GOP leaders decry Kavanaugh attacks as McConnell says 'this is not normal political behavior'","https://www.foxnews.com/politics/brett-kavanaugh-mitch-mcconnell-lindsey-graham-impeachment-calls","GOP leaders decry Kavanaugh attacks as McConnell says 'this is not normal political behavior'","GOP leaders decry Kavanaugh attacks as McConnell says 'this is not normal political behavior'","","September 16","House Judiciary Committee Chairman Jerry Nadler, D-N.Y., seemed to brush off his party's calls to launch impeachment proceedings against Kavanaugh, saying on a radio show Monday: “We have our hands full with impeaching the president right now.”","null"
"1575050068-64920","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=31","Diners confront Mitch McConnell at restaurant, get told to ‘leave him alone’ by others","https://www.foxnews.com/politics/diners-confront-mitch-mcconnell-at-restaurant-get-told-to-leave-him-alone-by-others","Diners confront Mitch McConnell at restaurant, get told to ‘leave him alone’ by others","Diners confront Mitch McConnell at restaurant, get told to ‘leave him alone’ by others","","October 20, 2018","According to TMZ, the woman who recorded the incident said the protester slammed his fists on McConnell’s table and threw food out of the restaurant after accusing McConnell of killing people with his views. McConnell reportedly later thanked some of the supporters and shook their hands.","null"
"1575050309-65388","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=2","Mitch McConnell recovering from shoulder surgery in Louisville","https://www.foxnews.com/politics/mitch-mcconnell-recovering-from-shoulder-surgery-in-louisville","Mitch McConnell recovering from shoulder surgery in Louisville","Mitch McConnell recovering from shoulder surgery in Louisville","","August 17","Senate Majority Leader Mitch McConnell is reportedly recovering after undergoing shoulder surgery on Thursday.","null"
"1575050119-65021","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=25","Mitch McConnell makes history as longest serving Senate Republican leader","https://www.foxnews.com/politics/mitch-mcconnell-makes-history-as-longest-serving-senate-republican-leader","Mitch McConnell makes history as longest serving Senate Republican leader","Mitch McConnell makes history as longest serving Senate Republican leader","","June 12, 2018","At the time, the Obama administration complained McConnell was breaking longstanding Senate tradition.","null"
"1575050240-65262","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=10","Mitch McConnell slammed by author Ta-Nehisi Coates over slavery reparations","https://www.foxnews.com/politics/mitch-mcconnell-slammed-by-ta-nehisi-coates-repreations","Mitch McConnell slammed by author Ta-Nehisi Coates over slavery reparations","Mitch McConnell slammed by author Ta-Nehisi Coates over slavery reparations","","June 19","CLICK HERE TO GET THE FOX NEWS APP","null"
"1575050249-65278","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=9","Marine combat aviator Amy McGrath announces Senate campaign against Mitch McConnell","https://www.foxnews.com/politics/marine-combat-aviator-amy-mcgrath-announces-senate-campaign-against-mitch-mcconnell-after-narrow-house-defeat","Marine combat aviator Amy McGrath announces Senate campaign against Mitch McConnell","Marine combat aviator Amy McGrath announces Senate campaign against Mitch McConnell","","July 9","Trump is expected to back McConnell, as he did for Rep. Andy Barr, the lawmaker who defeated McGrath last year by just three percentage points.","null"
"1575050291-65338","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=4","Reporter's Notebook: What Mitch McConnell said and did not say about guns","https://www.foxnews.com/politics/mcconnell-guns-what-he-didnt-say-reporters-notebook","Reporter's Notebook: What Mitch McConnell said and did not say about guns","Reporter's Notebook: What Mitch McConnell said and did not say about guns","Chad Pergram","August 13","","null"
"1575050282-65325","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=5","AOC slams McConnell after photo of young men in 'Team Mitch' T-shirts 'groping' cutout surfaces","https://www.foxnews.com/politics/ocasio-cortez-mcconnell-photo-team-mitch-shirts-groping-cutout","AOC slams McConnell after photo of young men in 'Team Mitch' T-shirts 'groping' cutout surfaces","AOC slams McConnell after photo of young men in 'Team Mitch' T-shirts 'groping' cutout surfaces","","August 6","The New York Democrat took to Twitter to slam the picture after it surfaced on social media. There’s no additional information about when the picture taken or whether or not the men are affiliated with McConnell’s campaign.","null"
"1575050059-64905","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=32","McConnell trolls Dem rep who challenged him to five debates -- by accepting","https://www.foxnews.com/politics/mcconnell-trolls-dem-rep-who-challenged-him-to-five-debates-by-accepting","McConnell trolls Dem rep who challenged him to five debates -- by accepting","McConnell trolls Dem rep who challenged him to five debates -- by accepting","","September 3","MITCH MCCONNELL RECOVERING FROM SHOULDER SURGERY IN LOUISVILLE","null"
