web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571099188-6058","https://www.nytimes.com/search?query=Betsy+Devos","Making America WorseAs impeachment commands the spotlight, the Trump administration continues to gut the rule book to hurt millions.By The Editorial BoardPRINT EDITIONOctober 13, 2019, Page SR8","https://www.nytimes.com/2019/10/12/opinion/sunday/making-america-worse.html?searchResultPosition=1","Making America Worse","As impeachment commands the spotlight, the Trump administration continues to gut the rule book to hurt millions.","","null","The administration’s penchant for this kind of petty vandalism does not add one whit to the case for Mr. Trump’s impeachment. It is instead a reminder that if Mr. Trump does stand for re-election in 2020, Americans can improve their lives by voting for someone else."
"1571099148-5742","https://www.nytimes.com/search?query=Betsy+Devos","No Profit in Betsy DeVosWhat Donald Trump teaches us about higher education.By Gail CollinsPRINT EDITIONOctober 28, 2017, Page A19","https://www.nytimes.com/2017/10/27/opinion/betsy-devos-for-profit-colleges.html?searchResultPosition=13","No Profit in Betsy DeVos","null","","Oct. 27, 2017","Back to the Department of Education. One of DeVos’s top advisers, Robert Eitel, is on a leave of absence from a company that operates for-profits and once paid more than $30 million to settle charges of deceiving students about the loans they were getting."
"1571099129-5659","https://www.nytimes.com/search?query=Betsy+Devos","Betsy DeVos Teaches the Value of IgnoranceThe education secretary is the perfect cabinet member for a president determined to undermine federal agencies’ mission.By The Editorial BoardPRINT EDITIONFebruary 8, 2017, Page A24","https://www.nytimes.com/2017/02/07/opinion/betsy-devos-teaches-the-value-of-ignorance.html?searchResultPosition=19","Betsy DeVos Teaches the Value of Ignorance","null","","Feb. 7, 2017","The tens of thousands of parents and students who called, emailed and signed petitions opposing Ms. DeVos’s confirmation refused to surrender to Mr. Trump. They couldn’t afford to have a billionaire hostile to government run public schools that already underperform the rest of the developed world."
"1571099097-5504","https://www.nytimes.com/search?query=Betsy+Devos","Democrats Criticize Betsy DeVos, Trump’s Choice for EducationPresident-elect Donald J. Trump’s cabinet picks for the departments of Health and Human Services, Education and the Interior highlight a week of confirmation hearings.By Emmarie Huetteman and Kate ZernikePRINT EDITIONJanuary 18, 2017","https://www.nytimes.com/2017/01/17/us/politics/what-to-watch-a-crush-of-hearings-and-a-transfer-of-power.html?searchResultPosition=30","Democrats Criticize Betsy DeVos, Trump’s Choice for Education","null","","Jan. 17, 2017","Ms. DeVos, a billionaire philanthropist, has attracted opposition from organizations supporting charter schools and from teachers’ unions."
"1571099182-6001","https://www.nytimes.com/search?query=Betsy+Devos","Education Department Hits Michigan State With Record Fine Over Nassar ScandalThe Education Department announced a $4.5 million fine for Michigan State University over the Larry Nassar scandal and ordered an overhaul of its handling of sexual assault.By Erica L. GreenPRINT EDITIONRecord Fine for Michigan St. in Nassar Case|September 6, 2019, Page A13","https://www.nytimes.com/2019/09/05/us/politics/michigan-state-larry-nassar.html?searchResultPosition=3","Education Department Hits Michigan State With Record Fine Over Nassar Scandal","null","","null","Separately, Ms. DeVos had ordered the Education Department’s Office for Civil Rights to investigate whether the university met its obligations under Title IX, the federal civil rights law that requires schools to address sexual assaults on campus."
"1571099100-5529","https://www.nytimes.com/search?query=Betsy+Devos","Tom Price, a Bigger Problem Than Betsy DeVosThere is a nominee beside Betsy DeVos who deserves more attention than he has received.By David Leonhardt","https://www.nytimes.com/2017/02/07/opinion/tom-price-a-bigger-problem-than-betsy-devos.html?searchResultPosition=29","Tom Price, a Bigger Problem Than Betsy DeVos","null","","Feb. 7, 2017","Price, on the other hand, would have the authority to weaken or undermine health insurance for millions of people if he’s confirmed. He’s sent strong signals that he would like to do so, too."
"1571099116-5595","https://www.nytimes.com/search?query=Betsy+Devos","How Senators Voted on Betsy DeVosThe Senate voted to confirm Betsy DeVos as education secretary.By THE NEW YORK TIMES","https://www.nytimes.com/interactive/2017/02/07/us/politics/betsy-devos-confirmation-vote.html?searchResultPosition=24","null","null","The New York Times Company","null",""
"1571099166-5883","https://www.nytimes.com/search?query=Betsy+Devos","Emails Show DeVos Aides Pulled Strings for Failing For-Profit CollegesA House committee has a trove of documents that show top Education Department officials trying to prop up a for-profit chain as it careened toward collapse.By Erica L. Green and Stacy CowleyPRINT EDITIONFor-Profit Failure Clouds Education Dept.|July 24, 2019, Page B1","https://www.nytimes.com/2019/07/23/us/politics/dream-center.html?searchResultPosition=8","Emails Show DeVos Aides Pulled Strings for Failing For-Profit Colleges","null","","July 23, 2019","In response to Mr. Scott’s accusations, Ms. Jones said, in a written statement to The New York Times, “The retroactive accreditation policy — which had been under discussion long before I arrived at the department — decided not whether Dream Center would live or die, but whether or not students could transfer their credits for the hard work they had completed.”"
"1571099155-5775","https://www.nytimes.com/search?query=Betsy+Devos","The Bane That Is Betsy DeVosWatch out, the secretary of education is on the loose.By Gail CollinsPRINT EDITIONThe Bane  That Is  Betsy DeVos|August 18, 2018, Page A21","https://www.nytimes.com/2018/08/17/opinion/betsy-devos-for-profit-colleges.html?searchResultPosition=11","The Bane That Is Betsy DeVos","Watch out, the secretary of education is on the loose.","","null","Yes, it was moored in Ohio and an unknown person set it adrift, causing up to $10,000 in damage. We do not approve of this sort of behavior, people! Somebody could have gotten hurt. And the DeVos family might have been without a floating residence, except for the other nine yachts they own."
"1571099114-5589","https://www.nytimes.com/search?query=Betsy+Devos","Betsy DeVos’s Power Over Black CollegesHer comments about H.B.C.U.s were troubling, but it’s her approach to the budget that will determine whether she’s a friend or foe.By Ivory A. Toldson","https://www.nytimes.com/2017/03/02/opinion/betsy-devoss-power-over-black-colleges.html?searchResultPosition=25","Betsy DeVos’s Power Over Black Colleges","null","","March 2, 2017","First, what are Ms. DeVos’s plans related to Title III, the federal grant program within the Department of Education designed to build the capacity of H.B.C.U.s? President Obama’s budget for the 2017 fiscal year, which never passed, sought to maintain and strengthen these opportunities for H.B.C.U.s to build their capacity. It included a proposal for $85 million in mandatory funding to the schools, as well as $244.7 million in discretionary Title III funding. Will Ms. DeVos maintain or increase these levels of funding?"
